id,x,y,ndvi,ndbi,lst,elevation,rainfall,distance_to_water,population
393,501875.0,2599295.0,-0.02611294479758311,-0.07491356392611233,0.0007616894019018068,0.015861431280605947,0.05049973963805311,-0.07123298803529234,-0.03877829602126971
403,502955.0,2597405.0,-0.020271753125254168,-0.03937672200551707,0.016991563336664437,-0.05713135409987811,-0.062178499101807456,-0.04691123553964019,0.023796999967716302
404,502175.0,2597405.0,-0.022280822337705734,-0.03230407730989546,-0.036444251343254006,-0.04933533248018699,-0.07520980960751354,-0.06621850252811995,-0.010770632964754773
411,500705.0,2599295.0,-0.02363754576329419,-0.02464243654054619,-0.0011615068412140193,-0.054238974306126474,-0.02838539032467949,-0.06607408426753238,-0.01888262738790857
417,502475.0,2597195.0,-0.02524379022186272,0.004508424268646426,-0.042221271790456934,-0.03939139640237022,-0.0675759464509949,-0.10076720603745216,-0.018634146698842946
424,500375.0,2597795.0,0.010362583543639786,-0.056509659563567176,0.04573232591158842,0.1062600529467985,-0.049130220241765464,0.0655119860030606,0.010456752719448046
427,502025.0,2598005.0,-0.0037303182477267647,0.10213814722012188,0.018475712895399732,-0.0831096351536883,0.04095968342477578,-0.08721240687043895,0.007924635856874274
433,501095.0,2598125.0,-0.023446603323262656,-0.03227262734354014,-0.06042675463661576,-0.08916993694929859,0.03374133091291494,0.01398313241882375,-0.027077362430185277
437,502445.0,2599715.0,-0.041119703781779385,-0.026122833484513684,0.007754851589469001,0.023383609181918175,-0.06147883155435873,-0.05342012607570004,-0.023797733496302858
476,501845.0,2598065.0,-0.01523089246604825,-0.0016597625705625308,0.00025545641843983496,-0.12230350714325325,0.0012682274262008069,-0.10080628132939078,-0.002056823751969026
478,502535.0,2597555.0,-0.019796079472051205,-0.030815018494996887,-0.020527378482161966,-0.04491290630342663,-0.06723448043677153,-0.05910373375468229,-0.007957894786401378
485,501935.0,2597045.0,-0.021083091195907927,-0.03307705769090855,-0.023027189035782086,-0.05121067672770517,-0.059101794751964205,-0.06231235234704958,0.007727730487767905
507,501395.0,2599895.0,-0.03700570238851508,-0.01632043246280676,0.009046028037859723,0.03643749676019026,-0.010209372279336493,-0.028294910387890188,-0.021422942189689077
508,500135.0,2599505.0,-0.021941651447799665,-0.03200072318728043,-0.04611690537738811,0.017278590739593862,-0.10065110493425958,-0.09599592484698885,0.0016311763745796152
517,501245.0,2598215.0,-0.028991594259156084,-0.06821784281498852,-0.03708598557793555,-0.08789384049971277,0.046678497661942514,-0.0016747867341387682,-0.03349989321945703
523,501455.0,2598665.0,-0.013437298700075423,0.07873601322555017,0.01610495141362336,-0.006046990328515017,0.04679254944814046,0.21506662232175824,0.0054713410781187105
536,501515.0,2598965.0,-0.01122332799075198,-0.026175799105031716,-0.10559521128565792,0.03468890970816776,0.001228797283343812,0.28433336097086176,-0.03566811166943369
541,502625.0,2597615.0,-0.027007923917897386,-0.028203188385194526,-0.003892192398355236,-0.06644109104141643,-0.057962802207060994,-0.06745442455868911,-0.018890767101776975
547,500135.0,2599385.0,-0.016823720057778904,-0.027479274629264323,-0.04515982883616343,0.030247500218272848,-0.10251123639377797,-0.09758098480454651,-0.01649794756023398
550,501695.0,2599475.0,-0.025752922842696886,-0.057568507424836574,-0.015057477694687158,0.06375184712019967,0.06944707812175294,-0.11605975137574168,-0.01429579959767887
565,501785.0,2597945.0,-0.019694275676442646,-0.011150143297928392,0.01356859164334646,-0.11014174610906981,0.025763903062561554,-0.05579643956101955,-0.00664617234607063
570,502295.0,2599715.0,-0.025438614747663884,-0.050111746662367514,0.0313497529470907,0.06622869321999575,-0.016234071992667513,-0.025889945741651908,0.003842049027880413
579,501725.0,2598215.0,-0.008711525112057123,-0.017785673838207148,0.00397114763428262,-0.10809697473732952,0.00908212755007167,-0.09862643539015843,0.005206438817885637
590,502085.0,2597795.0,0.04302726986004368,0.05262119240138232,0.058969822697928435,-0.01656521338587134,0.028570429120558315,-0.02323187796232626,-0.00280698205213355
593,500585.0,2599415.0,-0.02867248583057584,-0.038629352315132225,-0.022026363766835474,0.026862756592538894,-0.12787290978443153,-0.06381619615482634,-0.013676678954968307
604,500135.0,2598455.0,-0.007036992124341234,0.0884428464159552,0.013397156824249938,0.0469962727641098,0.1435710625441313,0.34231265447816134,0.05139173791447105
607,502925.0,2597075.0,-0.018010095052212648,0.0022055402262513915,-0.050541551652880365,-0.03586819792429561,-0.06976184512489245,-0.09268732233733594,-0.01734849427960102
616,500915.0,2597435.0,-0.014890581634429183,0.004181543540740813,-0.0706283781615047,0.022977710681850422,-0.08869281346044426,-0.0771199553814838,0.011535393597395189
617,500405.0,2599625.0,-0.020107250144398955,-0.006531148360960722,-0.06998214089311995,0.016538734400111856,-0.11808648088505604,-0.10093971048691623,0.011281039660382264
628,502355.0,2598035.0,0.009773763662266266,-0.005689163176633956,0.04287845860255409,-0.06443289928218625,0.050200657528629324,-0.08663181376261088,0.008706987244353991
636,501635.0,2598935.0,0.19057301088116319,0.11293626741029664,-0.023637518471765238,0.035723587252603585,0.014863924302008572,0.23318911708344156,0.08969002252099216
641,501425.0,2598455.0,-0.022059430547933412,-0.07312304767161133,-0.024569247317777883,-0.09607279762932606,0.00949550631422669,0.025390375173192377,-0.03301876791118152
644,500435.0,2598035.0,0.020293674070049186,0.02763423037916209,0.07381472271195892,0.15375145179338812,0.12697381334283536,0.07440010063464499,0.022239026104480475
651,502535.0,2599055.0,-0.020336852036466332,-0.019873435371758688,0.01899378690318601,0.04445405052270264,-0.04099028876759503,-0.06413046109078537,-0.023327528326541346
661,500105.0,2599415.0,-0.016087918733375207,-0.02709336841867033,-0.038725142251487515,0.03146803018787375,-0.09480234422099995,-0.09487893327503111,-0.010716839882826417
671,500495.0,2599775.0,-0.02342486316838806,-0.0013978777699389172,-0.07612572600286918,0.025120128427068598,-0.09618752274036999,-0.10340620196169285,-0.01043135314522582
673,501155.0,2598785.0,-0.024720732387307067,0.019463225585299223,-0.11687819243209666,-0.022520172848388607,-0.0003154188169150042,0.14067457779891904,-0.02917397283775603
674,500075.0,2599025.0,0.01486316675039743,0.01876190853560913,-0.01077339694542577,-0.05513698130510924,0.08997361738742594,0.002520200315706539,0.06959621875665857
680,500015.0,2598095.0,0.030873660554746354,0.07202103952300921,0.04757933789432503,0.12827627489534402,0.15251973818589198,-0.06502117226698326,-0.012210874068829944
691,501395.0,2599745.0,-0.01741810175056478,0.01082726118819356,0.060632471957257385,0.11686573246832846,0.16073961194995076,0.014951888831555453,0.0035888869762056674
694,502805.0,2598095.0,-0.0009628378104296211,-0.029125797912704768,0.04561031120638141,-0.04993106942124804,0.012112244181439066,0.016362735399556124,0.02609321361364829
709,501785.0,2599055.0,-0.02068414288423138,-0.10510999331687398,-0.005010719245697846,0.010480227435458516,0.06765949791937842,0.09230643827913332,-0.04284510962775046
717,502925.0,2598005.0,-0.0036352436773755383,-0.020633337625494626,0.03202628294846576,-0.06041257308444614,-0.006956318164791227,-0.05660126084699651,0.00850729677424885
731,501695.0,2597735.0,0.0022944076778865425,-0.007310402188212521,0.038886283029652344,-0.0463678003697983,-0.01855806222631335,-0.022652580367739254,-0.005222871398913334
736,500075.0,2599115.0,-0.005422241792311978,-0.04116428229759803,-0.03423443599033174,-0.046990672368235696,-0.00759159323874252,-0.06736203606491076,0.02452058387445276
737,500015.0,2597615.0,0.1813775265631942,0.13429353803749391,-0.023032545451823202,0.0853530480035696,-0.02910320740672297,0.24977517059230347,0.08339117988139566
745,502895.0,2599145.0,-0.010161577301341054,-0.007751856356770709,0.042396842852982584,0.06606099884283523,-0.05739236994811084,-0.053712816662045956,-0.02150278870615987
764,502745.0,2597315.0,-0.02476428652192155,-0.03302446304845369,-0.0267803412161463,-0.044018421845615746,-0.06698567276474382,-0.06707703501131847,-0.021243488993510633
766,500195.0,2598305.0,0.0044473833638563505,0.10845640076530326,0.03177077720385852,0.07506350264986794,0.15481794885563469,0.22296685635847327,0.05582560568759805
770,500975.0,2599055.0,-0.020582796906027802,0.012588477487358547,-0.08150292179692502,-0.07656836665571318,0.06334764022972086,-0.10166272767367428,-0.03546586515694844
787,500585.0,2599955.0,-0.0038141712860141233,-0.032922202923616625,-0.03917882163046649,0.028818102968918784,-0.09493605005675211,-0.08564972430410421,-0.016069552903385628
